0.24,0.19,0.12,0.18,0.14,1.73,0.93,0.50,0.84,0.74
0.65,0.18,0.14,0.13,0.13,4.85,1.20,0.80,0.80,0.85
0.54,0.24,0.15,0.27,0.13,2.84,1.03,0.50,1.09,0.48
0.36,0.14,0.12,0.11,0.10,2.72,0.63,0.36,0.31,0.31
0.21,0.13,0.10,0.12,0.00,0.99,0.53,0.37,0.37,0.00
0.21,0.13,0.10,0.12,0.00,1.07,0.58,0.31,0.43,0.00
0.42,0.14,0.11,0.11,0.11,3.06,0.57,0.35,0.28,0.28
1.27,0.32,0.28,0.26,0.30,6.33,1.61,0.82,0.86,0.86
0.69,0.35,0.29,0.39,0.31,2.90,1.73,0.82,1.12,0.85
3.69,1.54,0.87,0.83,0.81,14.86,6.13,4.71,4.40,4.23
0.57,0.35,0.35,0.00,0.00,2.65,1.30,0.86,0.00,0.00
4.69,3.11,1.97,3.04,1.85,20.26,12.97,7.91,8.93,6.18
3.88,2.83,1.92,2.09,1.79,16.01,10.08,6.12,9.13,6.69
3.61,2.70,1.70,2.08,1.62,17.71,9.77,5.42,9.38,5.75
3.77,2.44,1.73,1.81,2.83,13.74,9.03,5.02,6.22,4.33
23.52,18.25,15.03,15.55,9.97,96.60,62.97,48.18,47.15,43.03
31.39,21.70,14.49,16.81,11.39,129.63,77.77,50.56,63.87,44.57
